Date,Close,High,Low,Open,Volume
2011-01-24,32.967552185058594,33.64389817364034,32.794129400672176,33.21034480083089,19532650
2011-01-25,34.528358459472656,34.78848908408135,33.43579691875062,33.53984988622551,36688722
2011-01-26,35.17001724243164,35.55154956770164,34.684435539574864,34.684435539574864,37169089
2011-01-27,34.66709518432617,35.55155080619547,34.511013936194615,35.17001846763419,23369598
2011-01-28,35.274078369140625,35.48218432760637,34.51101720783708,35.48218432760637,22225618
2011-01-31,35.03127670288086,35.34343556047726,34.4763252306051,35.27406931756022,19482463
2011-02-01,34.75381088256836,36.10650323958772,34.580388049482266,35.06596982922876,25521359
2011-02-02,36.2105598449707,36.2105598449707,35.10066006084884,35.10066006084884,17271756
2011-02-07,35.23939895629883,36.76551441897834,35.031292954689484,36.59209514307605,32316322
2011-02-08,33.609214782714844,35.44748838853624,33.48782026987973,35.27406919369603,49137748
2011-02-09,33.088958740234375,34.233545103803415,32.95021904201888,33.6612519220189,45780018
2011-02-10,32.49932098388672,33.79998863407447,32.42995472170103,33.002247913678424,42731604
2011-02-11,34.21620178222656,34.47633603918918,33.140985210201855,33.26237976152133,49370647
2011-02-14,35.13533401489258,35.75965539570575,34.6844354392029,35.03128104944989,38528205
2011-02-15,35.100650787353516,35.2047037524945,34.40695956887096,35.100650787353516,17561107
2011-02-16,35.06595993041992,35.20469959298686,34.354930821273264,35.03127680885648,15722138
2011-02-17,35.30876159667969,35.551554274329625,34.649757000952725,34.719126850018064,20249551
2011-02-18,36.10649871826172,36.31460824479971,35.58623387230962,35.79433981069046,29166927
2011-02-21,35.44749069213867,36.00244219853,35.23938477428112,35.72496644533433,15218394
2011-02-22,34.025447845458984,35.447506792785966,33.99076111795644,35.447506792785966,31445893
2011-02-23,33.53985595703125,33.88670163683231,33.123644011796166,33.52251439067275,37776304
2011-02-24,33.90403747558594,34.35493606552287,33.453138885649004,33.453138885649004,27761415
2011-02-25,34.61507034301758,34.892546122845005,34.18151331573812,34.23354159427451,18317803
2011-02-28,35.724979400634766,36.002455254454226,34.33760371969557,34.68444584585132,28502084
2011-03-01,36.626766204833984,36.904241978215836,36.175867624568845,36.418660271836856,32320970
2011-03-02,36.34929656982422,36.41866642192356,35.551555829233614,36.07182074958452,17614602
2011-03-03,36.69613265991211,36.93892530852225,35.82902220885947,36.38397375869086,19044418
