Date,Close,High,Low,Open,Volume
2011-01-24,10.120477676391602,10.120477676391602,9.79867323874384,9.803172398415105,574683200
2011-01-25,10.238941192626953,10.240141662582634,10.0341028978612,10.086887537787016,546868000
2011-01-26,10.312421798706055,10.364906131488945,10.241943226523466,10.285729556096593,506875600
2011-01-27,10.29322624206543,10.337613203508159,10.28183018502745,10.310321128469697,285026000
2011-01-28,10.079992294311523,10.328918929380325,10.002916326049467,10.322021229655244,592057200
2011-01-31,10.17656135559082,10.198155402418456,10.02600686666801,10.07099286253097,377246800
2011-02-01,10.347808837890625,10.366402907642247,10.226345147428107,10.235942499995229,426633200
2011-02-02,10.326515197753906,10.354406302612126,10.30342196837177,10.330414522690154,258955200
2011-02-03,10.300124168395996,10.324117553950048,10.15346820300978,10.31092119189532,393797600
2011-02-04,10.391897201538086,10.397895547889133,10.302223925708205,10.306122450412731,321840400
2011-02-07,10.55324935913086,10.594336028910448,10.426086820908656,10.43358435331308,485021600
2011-02-08,10.65281867980957,10.66241603380798,10.561346702477763,10.607232850011716,381040800
2011-02-09,10.741594314575195,10.766787372836243,10.642924306018742,10.652520860699337,482745200
2011-02-10,10.633023262023926,10.796774885421552,10.43688137483442,10.71849848132844,928550000
2011-02-11,10.702303886413574,10.73079482783007,10.603033265063095,10.639322856904425,367572800
2011-02-14,10.772181510925293,10.781178227900828,10.698103949636346,10.700503287722398,310416400
2011-02-15,10.79377555847168,10.795875379877279,10.723296999051476,10.772481831792243,284174800
2011-02-16,10.890649795532227,10.94373316303843,10.811772735722604,10.820769455150591,481157600
2011-02-17,10.7457914352417,10.804873944469952,10.692406954521193,10.714301318733883,530583200
2011-02-18,10.513660430908203,10.781780085645048,10.482469032253233,10.758087019782685,816057200
2011-02-22,10.155266761779785,10.358906198056918,10.128575324106038,10.261435080433472,872555600
2011-02-23,10.275533676147461,10.336114578769463,10.155268819994442,10.160068298478613,671854400
2011-02-24,10.283332824707031,10.35141287629888,10.148073675035164,10.317523409845377,499900800
2011-02-25,10.441682815551758,10.449780182810699,10.340912998043574,10.354708393988833,380018800
2011-02-28,10.593135833740234,10.648319010748684,10.53045432441921,10.534053331725918,403074000
2011-03-01,10.476171493530273,10.668414080757476,10.427286174243282,10.660916548580207,456136800
2011-03-02,10.560446739196777,10.627327099799714,10.448879899509597,10.495666200242237,602590800
2011-03-03,10.783578872680664,10.790476569578047,10.674411387185858,10.712500480665067,500788400
2011-03-04,10.79677963256836,10.805476836658892,10.72929941950461,10.79887865392391,453266800
2011-03-07,10.657617568969727,10.846860978012653,10.536153867102083,10.83876281060016,546123200
2011-03-08,10.669612884521484,10.718798517546519,10.564343921461719,10.644120316169841,356316800
2011-03-09,10.570943832397461,10.639623699424927,10.514861294027535,10.637523877699556,453306000
2011-03-10,10.396995544433594,10.489968312511895,10.343911379737444,10.470473286168101,507539200
2011-03-11,10.556549072265625,10.56644674573245,10.34691284052651,10.356808912298462,471080400
2011-03-14,10.603631019592285,10.691205249821058,10.536151644372111,10.592234164752998,435957200
2011-03-15,10.359807014465332,10.432085084235082,10.199954691654524,10.259936552107641,721081200
2011-03-16,9.897345542907715,10.286929776218017,9.784879338307796,10.256938841714533,1162011200
2011-03-17,10.036200523376465,10.185255773680197,9.916835875740661,10.101880390577332,659422400
2011-03-18,9.917142868041992,10.142975493027569,9.897048800148175,10.110884727630689,753214000
2011-03-21,10.175957679748535,10.189153235870405,10.054793531938953,10.07668788824264,409402000
2011-03-22,10.232943534851074,10.275531791064433,10.171162173306488,10.273732287280769,325922800
2011-03-23,10.172659873962402,10.203550147368635,10.075488293177935,10.175358728607716,372996400
2011-03-24,10.346009254455566,10.376900332369049,10.162764209950456,10.25243747018965,404712000
2011-03-25,10.543050765991211,10.558645663348827,10.407490561060232,10.438981474319421,448910000
2011-03-28,10.510059356689453,10.626425651346384,10.510059356689453,10.591335732509407,309355200
2011-03-29,10.525657653808594,10.525657653808594,10.378702165016454,10.426687336555677,352900800
2011-03-30,10.45577621459961,10.523257201761009,10.420087259769904,10.51605838623807,329406000
2011-03-31,10.452178955078125,10.490867086194536,10.378701217390928,10.387697935703494,274019200
2011-04-01,10.33371353149414,10.544550990641536,10.295924752199547,10.530155760958573,418661600
2011-04-04,10.232645988464355,10.334915804411692,10.148971048528994,10.326218601539473,460084800
2011-04-05,10.163666725158691,10.26443655516293,10.076992610592901,10.106684028687356,482731200
2011-04-06,10.138171195983887,10.313918712775568,10.111179442407037,10.233543286587775,402539200
2011-04-07,10.139371871948242,10.209849629189067,10.077889230489983,10.139970905655984,373447200
2011-04-08,10.048800468444824,10.201454789439897,10.015510845248853,10.194557091100142,377535200
2011-04-11,9.921037673950195,10.067092994827863,9.897644925327368,10.018807510654083,398946800
2011-04-12,9.969024658203125,10.008912462020763,9.903043646121864,9.911740848311506,425639200
2011-04-13,10.080892562866211,10.081192079819875,9.972624391743834,10.047602134398652,346220000
2011-04-14,9.969619750976562,10.076987710666147,9.958823532157938,10.040998445960996,301800800
2011-04-15,9.820868492126465,10.006213409946874,9.80107474789977,9.996016220060222,453605600
2011-04-18,9.95252799987793,9.963924857553245,9.601933076604833,9.78007995287203,609898800
2011-04-19,10.13277530670166,10.136373513757572,9.948329755473452,9.99001786326235,419378400
2011-04-20,10.269234657287598,10.369404646959525,10.24194338044046,10.302224764055628,700666400
2011-04-21,10.517858505249023,10.650719064279663,10.452478136480474,10.64681973901191,753810400
2011-04-25,10.587139129638672,10.60933301147093,10.505862736632059,10.507063206767612,266546000
2011-04-26,10.509461402893066,10.646520000361201,10.477370653345055,10.605432532976792,338800000
2011-04-27,10.501364707946777,10.56734572003007,10.409892724804102,10.564046228959866,356213200
2011-04-28,10.399394989013672,10.489366976167313,10.362505561314793,10.382599620112366,360959200
2011-04-29,10.50076675415039,10.615331983178319,10.3969969484722,10.400296439881762,1006345200
2011-05-02,10.385299682617188,10.510962243717056,10.36190693120412,10.48906867856367,442713600
2011-05-03,10.442882537841797,10.493567368061658,10.365505464242707,10.436584673997384,313348000
2011-05-04,10.483968734741211,10.55174843982359,10.403292185910422,10.444679970617191,389250400
2011-05-05,10.399394989013672,10.525357052384399,10.37840077788704,10.448879341693994,335969200
2011-05-06,10.396697044372559,10.496867037124908,10.383201163993101,10.487569999661988,280134400
2011-05-09,10.424888610839844,10.472874586808857,10.392797854267565,10.432685661225102,204747200
2011-05-10,10.480371475219727,10.487569491299169,10.396696540414615,10.463576104367695,282091600
2011-05-11,10.413788795471191,10.496864681836726,10.354107258095969,10.467473588863138,336000000
2011-05-12,10.393994331359863,10.41049018124781,10.265033912510644,10.380499255796128,322000000
2011-05-13,10.211949348449707,10.384397376612531,10.207450989756198,10.366703458689374,326116000
2011-05-16,9.996016502380371,10.233546244893692,9.975022287314907,10.172964540256757,449775200
2011-05-17,10.081186294555664,10.081186294555664,9.918934690307307,9.957023774955166,452334400
2011-05-18,10.19305419921875,10.228443634116067,10.076989025632,10.0910847360558,334776400
2011-05-19,10.212851524353027,10.26923438143185,10.157067701094654,10.25933750983677,261170000
2011-05-20,10.053600311279297,10.225449361798065,10.047601963833143,10.18376124747102,337968400
2011-05-23,10.02900505065918,10.076391185015998,9.879650233809267,9.896145285513635,383600000
2011-05-24,9.962724685668945,10.073991998924848,9.937232116262942,10.061995307240318,321927200
2011-05-25,10.100381851196289,10.1537663216447,9.982517173154813,9.999911573066896,294224000
2011-05-26,10.047001838684082,10.103685019140652,10.02990694938039,10.076093422533322,222560800
